Sum of Qty;Column Labels;;;
Row Labels;2024;2025;2026;Grand Total
Jan;1,496,418;1,553,183;1,791,280;4,840,881
Feb;1,382,342;1,465,681;1,641,341;4,489,364
Mar;1,487,859;1,230,243;1,077,224;3,795,326
Apr;950,844;1,294,392;1,784,963;4,030,199
May;1,437,533;1,571,140;1,628,866;4,637,539
Jun;1,494,677;1,551,809;1,765,348;4,811,834
Jul;1,557,326;1,787,057;1,995,012;5,339,395
Aug;1,493,439;1,801,125;1,115,297;4,409,861
Sep;1,492,271;1,624,136;;3,116,407
Oct;1,686,350;1,705,985;;3,392,335
Nov;1,575,064;1,668,843;;3,243,907
Dec;1,649,318;1,805,819;;3,455,137
Grand Total;17,703,441;19,059,413;12,799,331;49,562,185
