Row Labels;% Closed Order Area
West Kalimantan;1.014983713
Kepulauan Riau;1.009756098
Lampung;0.9292
Central Kalimantan;0.80875
West Nusa Tenggara;0.7988
Maluku;0.759285714
Bali;0.698243243
Central Java;0.6971804
West Java;0.684105263
North Sumatra;0.680410959
Jambi;0.673148148
West Sumatra;0.665793103
Riau;0.664266667
East Java;0.618995495
Southeast Sulawesi;0.615
South Kalimantan;0.592407407
Central Sulawesi;0.574313725
Jakarta;0.565948276
North Kalimantan;0.561428571
Bengkulu;0.56
South Sumatra;0.538283379
Banten;0.490384615
South Sulawesi;0.448083333
East Kalimantan;0.437446809
East Nusa Tenggara;0.366666667
Yogyakarta;0.352058824
North Maluku;0.314545455
North Sulawesi;0.270942408
Central Papua;0.251818182
Gorontalo;0.216329114
Papua;0.170697674
West Papua;0.111515152
Bangka Belitung;0.0625
South West Papua;0.034848485
