Central Kalimantan;137%
West Kalimantan;107%
West Nusa Tenggara;105%
South Kalimantan;103%
Lampung;98%
Bali;96%
West Java;90%
Jambi;77%
North Sumatra;74%
Central Sulawesi;73%
North Kalimantan;72%
Bengkulu;72%
Southeast Sulawesi;70%
West Sumatra;69%
Jakarta;68%
Central Java;68%
South Sumatra;64%
Riau;63%
East Java;62%
East Kalimantan;55%
South Sulawesi;52%
North Maluku;45%
Banten;42%
Kepulauan Riau;41%
East Nusa Tenggara;37%
Central Papua;28%
Yogyakarta;23%
Papua;19%
North Sulawesi;9%
Gorontalo;9%
West Papua;7%
;
