Kepulauan Riau;100%
Lampung;81%
West Nusa Tenggara;78%
Central Java;72%
West Kalimantan;72%
Riau;72%
Southeast Sulawesi;71%
West Sumatra;67%
East Java;60%
North Sumatra;60%
Yogyakarta;58%
North Kalimantan;57%
Bali;55%
Central Sulawesi;55%
Jakarta;53%
West Java;51%
Banten;48%
Jambi;46%
Central Kalimantan;43%
North Sulawesi;43%
South Sulawesi;42%
East Kalimantan;40%
South Kalimantan;34%
South Sumatra;32%
Central Papua;30%
Maluku;29%
Gorontalo;20%
West Papua;18%
Papua;17%
North Maluku;15%
Bangka Belitung;12%
South West Papua;5%
