Provinsi;Target EOW;Target MTD;Closed/terkirim;Loading Hari Ini;Gulungan
JAKARTA;89.47%;63.16%;53.10%;8.70%;0.42%
JAWA TENGAH;89.47%;63.16%;71.31%;0.53%;4.84%
JAWA TIMUR;89.47%;63.16%;60.42%;0.65%;0.58%
KALIMANTAN;89.47%;63.16%;47.13%;5.16%;6.89%
PAPUA;89.47%;63.16%;55.09%;12.23%;14.05%
SULAWESI;89.47%;63.16%;52.56%;8.26%;4.25%
SUMATERA;89.47%;63.16%;62.00%;5.60%;5.29%
BALI & NUSA TENGGARA;89.47%;63.16%;52.98%;0.85%;
BANTEN;89.47%;63.16%;47.76%;13.56%;0.23%
JAWA BARAT;89.47%;63.16%;51.34%;4.18%;1.04%
MALUKU;89.47%;63.16%;23.46%;0.92%;23.08%
