Provinsi;Target EOW;Target MTD;Closed/terkirim;Loading Hari Ini;Gulungan
JAKARTA;89.47%;63.16%;68.32%;0.67%;3.15%
JAWA TENGAH;89.47%;63.16%;65.90%;4.93%;5.09%
JAWA TIMUR;89.47%;63.16%;62.04%;5.28%;0.75%
KALIMANTAN;89.47%;63.16%;96.88%;2.21%;4.62%
PAPUA;89.47%;63.16%;45.25%;3.75%;23.50%
SULAWESI;89.47%;63.16%;47.68%;17.62%;13.64%
SUMATERA;89.47%;63.16%;71.92%;3.66%;7.11%
BALI & NUSA TENGGARA;89.47%;63.16%;86.52%;20.00%;2.76%
BANTEN;89.47%;63.16%;42.09%;0.87%;3.46%
JAWA BARAT;89.47%;63.16%;89.60%;4.01%;0.81%
MALUKU;89.47%;63.16%;51.82%;7.27%;34.55%
