Provinsi;Target EOW;Target MTD;Closed/terkirim;Loading Hari Ini;Gulungan
JAKARTA;89.47%;63.16%;57.84%;20.59%;0.89%
JAWA TENGAH;89.47%;63.16%;70.22%;9.59%;0.65%
JAWA TIMUR;89.47%;63.16%;91.43%;7.88%;0.75%
KALIMANTAN;89.47%;63.16%;36.89%;20.44%;9.50%
PAPUA;89.47%;63.16%;22.40%;3.00%;24.60%
SULAWESI;89.47%;63.16%;49.10%;14.10%;16.28%
SUMATERA;89.47%;63.16%;65.55%;7.68%;17.20%
BALI & NUSA TENGGARA;89.47%;63.16%;72.88%;6.67%;5.46%
BANTEN;89.47%;63.16%;75.60%;14.70%;
JAWA BARAT;89.47%;63.16%;68.57%;12.14%;2.14%
MALUKU;89.47%;63.16%;89.00%;;2.50%
