Row Labels;% Closed Order Area
Kepulauan Riau;1.045
Lampung;0.962
Jambi;0.924
Jakarta;0.9198
North Sumatra;0.891
West Sumatra;0.868
Riau;0.855
South Sumatra;0.832
Bengkulu;0.794
West Kalimantan;0.765
Bangka Belitung;0.740
West Nusa Tenggara;0.694
Central Kalimantan;0.682
North Kalimantan;0.591
Bali;0.585
South Kalimantan;0.543
West Java;0.5296
Southeast Sulawesi;0.524
Central Java;0.515
Banten;0.501
Central Sulawesi;0.476
East Kalimantan;0.468
Yogyakarta;0.458
East Nusa Tenggara;0.431
East Java;0.4236
South Sulawesi;0.412
Maluku;0.385
North Sulawesi;0.335
North Maluku;0.292
Gorontalo;0.286
Central Papua;0.245
Papua;0.182
West Papua;0.124
South West Papua;0.085
