Kepulauan Riau;104.5%
Lampung;96.2%
Jambi;92.4%
Jakarta;91.98%
North Sumatra;89.1%
West Sumatra;86.8%
Riau;85.5%
South Sumatra;83.2%
Bengkulu;79.4%
West Kalimantan;76.5%
Bangka Belitung;74%
West Nusa Tenggara;69.4%
Central Kalimantan;68.2%
North Kalimantan;59.1%
Bali;58.5%
South Kalimantan;54.3%
West Java;52.96%
Southeast Sulawesi;52.4%
Central Java;51.5%
Banten;50.1%
Central Sulawesi;47.6%
East Kalimantan;46.8%
Yogyakarta;45.8%
East Nusa Tenggara;43.1%
East Java;42.36%
South Sulawesi;41.2%
Maluku;38.5%
North Sulawesi;33.5%
North Maluku;29.2%
Gorontalo;28.6%
Central Papua;24.5%
Papua;18.2%
West Papua;12.4%
South West Papua;8.5%
